Year,Month,Carbon
1958,3,314.43
1958,4,315.16
1958,5,314.71
1958,6,-99.99
1958,7,315.19
1958,8,316.19
1958,9,316.08
1958,10,-99.99
1958,11,315.2
1958,12,315.43
1959,1,315.54
1959,2,315.86
1959,3,315.37
1959,4,315.41
1959,5,315.48
1959,6,316.03
1959,7,315.87
1959,8,316.07
1959,9,316.73
1959,10,316.33
1959,11,316.69
1959,12,316.35
1960,1,316.39
1960,2,316.35
1960,3,316.27
1960,4,316.69
1960,5,317.21
1960,6,317.47
1960,7,317.53
1960,8,317.2
1960,9,317.08
1960,10,316.83
1960,11,316.88
1960,12,316.96
1961,1,316.85
1961,2,317.07
1961,3,317.25
1961,4,317.15
1961,5,317.75
1961,6,317.63
1961,7,317.89
1961,8,318.07
1961,9,317.9
1961,10,318.32
1961,11,317.99
1961,12,317.79
1962,1,317.9
1962,2,317.91
1962,3,318.39
1962,4,318.24
1962,5,318.17
1962,6,318.47
1962,7,318.93
1962,8,318.68
1962,9,319.17
1962,10,318.45
1962,11,318.59
1962,12,318.47
1963,1,318.7
1963,2,318.43
1963,3,318.57
1963,4,319.04
1963,5,319.39
1963,6,319.33
1963,7,319.06
1963,8,319.05
1963,9,319.14
1963,10,319.02
1963,11,318.97
1963,12,319.13
1964,1,319.53
1964,2,-99.99
1964,3,-99.99
1964,4,-99.99
1964,5,319.4
1964,6,319.75
1964,7,319.78
1964,8,320.01
1964,9,319.65
1964,10,319.91
1964,11,319.58
1964,12,319.49
1965,1,319.4
1965,2,319.8
1965,3,319.59
1965,4,319.78
1965,5,319.3
1965,6,319.7
1965,7,320.52
1965,8,320.16
1965,9,320.77
1965,10,320.36
1965,11,320.78
1965,12,320.2
1966,1,320.58
1966,2,320.95
1966,3,321.08
1966,4,321.34
1966,5,321.2
1966,6,321.57
1966,7,321.69
1966,8,321.66
1966,9,321.6
1966,10,321.17
1966,11,321.71
1966,12,321.81
1967,1,322.29
1967,2,321.85
1967,3,321.72
1967,4,322.04
1967,5,322.11
1967,6,321.91
1967,7,321.85
1967,8,322.22
1967,9,322.23
1967,10,322.47
1967,11,322.65
1967,12,322.75
1968,1,322.53
1968,2,322.5
1968,3,322.55
1968,4,322.62
1968,5,322.67
1968,6,323.19
1968,7,323.47
1968,8,323.44
1968,9,323.32
1968,10,323.33
1968,11,323.25
1968,12,323.69
1969,1,323.96
1969,2,323.76
1969,3,324.31
1969,4,324.27
1969,5,324.47
1969,6,324.51
1969,7,325.19
1969,8,324.98
1969,9,325.37
1969,10,324.88
1969,11,324.8
1969,12,324.91
1970,1,325.02
1970,2,325.33
1970,3,325.61
1970,4,325.74
1970,5,325.16
1970,6,325.46
1970,7,325.65
1970,8,326
1970,9,326.1
